iata,city,country,latitude,longitude
1273,Leeds,United Kingdom,53.7881,-1.6008
37148,Ilorin,Nigeria,8.5,4.55
37148,Benin City,Nigeria,6.335,5.6274999999999995
37148,Benin City,Nigeria,6.335,5.6274999999999995
37686,Zaria,Nigeria,11.1132,7.7252
36914,,Kenya,1.0,38.0
36914,,Kenya,1.0,38.0
36914,,Kenya,1.0,38.0
36944,,South Africa,-29.0,24.0
36944,,South Africa,-29.0,24.0
36944,,South Africa,-29.0,24.0
11537,,United States,37.751,-97.822
36914,,Kenya,1.0,38.0
36914,,Kenya,1.0,38.0
36914,,Kenya,1.0,38.0
36944,,South Africa,-29.0,24.0
36944,,South Africa,-29.0,24.0
1200,,Netherlands,52.3824,4.8995
16509,Dublin,Ireland,53.3338,-6.2488
36914,,Kenya,1.0,38.0
36914,,Kenya,1.0,38.0
36914,,Kenya,1.0,38.0
36944,,South Africa,-29.0,24.0
36944,,South Africa,-29.0,24.0
36944,,South Africa,-29.0,24.0
2018,,South Africa,-29.0,24.0
2018,,South Africa,-29.0,24.0
2018,,South Africa,-29.0,24.0
2018,Cape Town,South Africa,-33.9258,18.4259
2018,Bellville,South Africa,-33.9,18.6333
36914,,Kenya,1.0,38.0
36914,,Kenya,1.0,38.0
36914,,Kenya,1.0,38.0
36944,,South Africa,-29.0,24.0
36944,,South Africa,-29.0,24.0
2018,,South Africa,-29.0,24.0
2018,,South Africa,-29.0,24.0
2018,,South Africa,-29.0,24.0
2018,,South Africa,-29.0,24.0
2018,,South Africa,-29.0,24.0
2018,Cape Town,South Africa,-33.9258,18.4259
36982,Cape Town,South Africa,-33.9258,18.4259
36982,Cape Town,South Africa,-33.9258,18.4259
36982,Cape Town,South Africa,-33.9258,18.4259
36930,,Tanzania,-6.8227,39.291
36982,Cape Town,South Africa,-33.9258,18.4259
36982,Cape Town,South Africa,-33.9258,18.4259
36982,Cape Town,South Africa,-33.9258,18.4259
22354,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847
36874,Cape Town,South Africa,-33.9258,18.4259
36874,Cape Town,South Africa,-33.9258,18.4259
37100,Cape Town,South Africa,-33.9258,18.4259
37100,,Mauritius,-20.2833,57.55
37100,,Mauritius,-20.2833,57.55
37100,Maputo,Mozambique,-25.9653,32.5892
37100,Maputo,Mozambique,-25.9653,32.5892
37100,,Mauritius,-20.2833,57.55
37100,,Mauritius,-20.2833,57.55
37100,Marseille,France,43.2951,5.3861
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
37662,,Mauritius,-20.2833,57.55
37662,Marseille,France,43.2951,5.3861
327700,,Mozambique,-18.25,35.0
31960,Maputo,Mozambique,-25.9653,32.5892
31960,Maputo,Mozambique,-25.9653,32.5892
31960,Maputo,Mozambique,-25.9653,32.5892
31960,Maputo,Mozambique,-25.9653,32.5892
36874,Cape Town,South Africa,-33.9258,18.4259
36874,Cape Town,South Africa,-33.9258,18.4259
37100,Cape Town,South Africa,-33.9258,18.4259
37100,,Mauritius,-20.2833,57.55
37100,,Mauritius,-20.2833,57.55
37100,Maputo,Mozambique,-25.9653,32.5892
37100,Maputo,Mozambique,-25.9653,32.5892
31960,Maputo,Mozambique,-25.9653,32.5892
31960,Maputo,Mozambique,-25.9653,32.5892
36874,Cape Town,South Africa,-33.9258,18.4259
36874,,South Africa,-29.0,24.0
36874,,South Africa,-29.0,24.0
36874,,South Africa,-29.0,24.0
6939,,United States,37.751,-97.822
6939,,United States,37.751,-97.822
8657,,Portugal,38.7139,-9.1394
8657,,Portugal,38.7139,-9.1394
29614,Accra,Ghana,5.5502,-0.2174
29614,Accra,Ghana,5.5502,-0.2174
327947,,Ghana,8.0,-2.0
327947,Kumasi,Ghana,6.6833,-1.6167
327947,Kumasi,Ghana,6.6833,-1.6167
36874,Cape Town,South Africa,-33.9258,18.4259
36874,Cape Town,South Africa,-33.9258,18.4259
29614,,Ghana,8.0,-2.0
29614,,Ghana,8.0,-2.0
37074,Accra,Ghana,5.5502,-0.2174
37074,Accra,Ghana,5.5502,-0.2174
37074,,Ghana,8.0,-2.0
36874,Cape Town,South Africa,-33.9258,18.4259
36874,,South Africa,-29.0,24.0
36874,,South Africa,-29.0,24.0
36874,,South Africa,-29.0,24.0
6939,,United States,37.751,-97.822
6939,,United States,37.751,-97.822
20965,,United Kingdom,51.4964,-0.1224
21320,,United Kingdom,51.4964,-0.1224
3208,,Algeria,36.7642,3.1468
3208,,Algeria,36.7642,3.1468
36874,Cape Town,South Africa,-33.9258,18.4259
36874,,South Africa,-29.0,24.0
36874,,South Africa,-29.0,24.0
36874,,South Africa,-29.0,24.0
6939,,United States,37.751,-97.822
6939,,United States,37.751,-97.822
20965,,United Kingdom,51.4964,-0.1224
3208,,Algeria,36.7642,3.1468
36982,Cape Town,South Africa,-33.9258,18.4259
36982,Cape Town,South Africa,-33.9258,18.4259
36982,Cape Town,South Africa,-33.9258,18.4259
30983,,Morocco,32.0,-5.0
36982,Cape Town,South Africa,-33.9258,18.4259
36982,Cape Town,South Africa,-33.9258,18.4259
36982,Cape Town,South Africa,-33.9258,18.4259
53589,Laval,Canada,45.578,-73.8004
36982,Cape Town,South Africa,-33.9258,18.4259
36982,Cape Town,South Africa,-33.9258,18.4259
36982,Cape Town,South Africa,-33.9258,18.4259
8346,Saint-Louis,Senegal,16.0189,-16.4953
36982,Cape Town,South Africa,-33.9258,18.4259
36982,Cape Town,South Africa,-33.9258,18.4259
36982,Cape Town,South Africa,-33.9258,18.4259
8346,,Senegal,14.0,-14.0
36982,Cape Town,South Africa,-33.9258,18.4259
36982,Cape Town,South Africa,-33.9258,18.4259
36982,Cape Town,South Africa,-33.9258,18.4259
36982,Cape Town,South Africa,-33.9258,18.4259
36982,Cape Town,South Africa,-33.9258,18.4259
36982,Cape Town,South Africa,-33.9258,18.4259
36914,,Kenya,1.0,38.0
36982,Cape Town,South Africa,-33.9258,18.4259
36982,Cape Town,South Africa,-33.9258,18.4259
36982,Cape Town,South Africa,-33.9258,18.4259
37170,Lagos,Nigeria,6.4474,3.3903
36982,Cape Town,South Africa,-33.9258,18.4259
36982,Cape Town,South Africa,-33.9258,18.4259
36982,Cape Town,South Africa,-33.9258,18.4259
37686,Zaria,Nigeria,11.1132,7.7252
36982,Cape Town,South Africa,-33.9258,18.4259
36982,Cape Town,South Africa,-33.9258,18.4259
36982,Cape Town,South Africa,-33.9258,18.4259
36982,Cape Town,South Africa,-33.9258,18.4259
36982,Cape Town,South Africa,-33.9258,18.4259
36982,Cape Town,South Africa,-33.9258,18.4259
16509,Dublin,Ireland,53.3338,-6.2488
8346,,Senegal,14.0,-14.0
8346,Dakar,Senegal,14.6708,-17.4381
8346,,Senegal,14.0,-14.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
37662,,Mauritius,-20.2833,57.55
37662,,Mauritius,-20.2833,57.55
37662,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847
36930,,Tanzania,-6.8227,39.291
36930,,Tanzania,-6.8227,39.291
36930,,Tanzania,-6.8227,39.291
8346,,Senegal,14.0,-14.0
8346,Dakar,Senegal,14.6708,-17.4381
8346,,Senegal,14.0,-14.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
37100,Marseille,France,43.2951,5.3861
37100,,Mauritius,-20.2833,57.55
37100,,Mauritius,-20.2833,57.55
37100,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847
37100,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847
22354,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847
22354,Dar es Salaam,Tanzania,-6.7963000000000005,39.2847
8346,,Senegal,14.0,-14.0
8346,Dakar,Senegal,14.6708,-17.4381
8346,,Senegal,14.0,-14.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
6453,,,47.0,8.0
37662,,Mauritius,-20.2833,57.55
37662,Marseille,France,43.2951,5.3861
327700,,Mozambique,-18.25,35.0
31960,Maputo,Mozambique,-25.9653,32.5892
31960,Maputo,Mozambique,-25.9653,32.5892
31960,Maputo,Mozambique,-25.9653,32.5892
31960,Maputo,Mozambique,-25.9653,32.5892
8346,,Senegal,14.0,-14.0
