msmID,source,name,city,country,latitude,longitude,hops
www.ug.edu.gh,Ghana,36982 UCT,Cape Town,South Africa,-33.9258,18.4259,9
www.ug.edu.gh,Ghana,37611 Afrihost,Cape Town,South Africa,-33.9165,18.4155,11
www.univ-bejaia.dz,Algeria,36874 Cybersmart,Cape Town,South Africa,-33.9258,18.4259,18
www.univ-bejaia.dz,Algeria,36982 UCT,Cape Town,South Africa,-33.9258,18.4259,9
www.univ-bejaia.dz,Algeria,37611 Afrihost,Cape Town,South Africa,-33.9165,18.4155,13
www.univ-tlemcen.dz,Algeria,36874 Cybersmart,Cape Town,South Africa,-33.9258,18.4259,23
www.univ-tlemcen.dz,Algeria,36982 UCT,Cape Town,South Africa,-33.9258,18.4259,9
www.univ-tlemcen.dz,Algeria,37611 Afrihost,Cape Town,South Africa,-33.9165,18.4155,18
www.uca.ma,Morocco,36982 UCT,Cape Town,South Africa,-33.9258,18.4259,9
www.uca.ma,Morocco,36874 Cybersmart,Cape Town,South Africa,-33.9258,18.4259,15
www.uca.ma,Morocco,37611 Afrihost,Cape Town,South Africa,-33.9165,18.4155,14
www.uaq.ma,Morocco,36982 UCT,Cape Town,South Africa,-33.9258,18.4259,9
www.uaq.ma,Morocco,36874 Cybersmart,Cape Town,South Africa,-33.9258,18.4259,13
www.uaq.ma,Morocco,37611 Afrihost,Cape Town,South Africa,-33.9165,18.4155,16
www.ugb.sn,Senegal,36982 UCT,Cape Town,South Africa,-33.9258,18.4259,9
www.ugb.sn,Senegal,36874 Cybersmart,Cape Town,South Africa,-33.9258,18.4259,18
www.ugb.sn,Senegal,37611 Afrihost,Cape Town,South Africa,-33.9165,18.4155,18
www.ucad.sn,Senegal,36982 UCT,Cape Town,South Africa,-33.9258,18.4259,9
www.ucad.sn,Senegal,36874 Cybersmart,Cape Town,South Africa,-33.9258,18.4259,14
www.ucad.sn,Senegal,37611 Afrihost,Cape Town,South Africa,-33.9165,18.4155,14
www.ku.ac.ke,Kenya,36982 UCT,Cape Town,South Africa,-33.9258,18.4259,9
www.ku.ac.ke,Kenya,36874 Cybersmart,Cape Town,South Africa,-33.9258,18.4259,16
www.ku.ac.ke,Kenya,37611 Afrihost,Cape Town,South Africa,-33.9165,18.4155,19
