iata,name,city,country,latitude,longitude,s
1273,CW Vodafone Group PLC,,United Kingdom,51.4964,-0.1224,GhanaNigeria
29614,VODAFONE GHANA AS INTERNATIONAL TRANSIT,,Ghana,8.0,-2.0,Ghana
29614,VODAFONE GHANA AS INTERNATIONAL TRANSIT,,Ghana,8.0,-2.0,Ghana
37074,University of Ghana,Accra,Ghana,5.5502,-0.2174,Ghana
37074,University of Ghana,Accra,Ghana,5.5502,-0.2174,Ghana
37074,University of Ghana,,Ghana,8.0,-2.0,Ghana
327814,Ecoband,,Ghana,8.0,-2.0,Ghana
327814,Ecoband,,Ghana,8.0,-2.0,Ghana
327814,Ecoband,,Ghana,8.0,-2.0,Ghana
327992,GHANAIAN-ACADEMIC-AND-RESEARCH-NETWORK,,Ghana,8.0,-2.0,Ghana
37074,University of Ghana,Accra,Ghana,5.5502,-0.2174,Ghana
37074,University of Ghana,Accra,Ghana,5.5502,-0.2174,Ghana
37074,University of Ghana,,Ghana,8.0,-2.0,Ghana
30997,GIXA-AS,,Ghana,8.0,-2.0,Ghana
327992,GHANAIAN-ACADEMIC-AND-RESEARCH-NETWORK,,Ghana,8.0,-2.0,Ghana
37074,University of Ghana,Accra,Ghana,5.5502,-0.2174,Ghana
37074,University of Ghana,Accra,Ghana,5.5502,-0.2174,Ghana
37074,University of Ghana,,Ghana,8.0,-2.0,Ghana
3208,ARN,,Algeria,36.7642,3.1468,Algeria
3208,ARN,,Algeria,36.7642,3.1468,Algeria
3208,ARN,,Algeria,36.7642,3.1468,Algeria
3208,ARN,,Algeria,36.7642,3.1468,Algeria
3208,ARN,,Algeria,36.7642,3.1468,Algeria
36947,Telecom Algeria,,Algeria,36.7642,3.1468,Algeria
3208,ARN,,Algeria,36.7642,3.1468,Algeria
3208,ARN,,Algeria,36.7642,3.1468,Algeria
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,Dakar,Senegal,14.6708,-17.4381,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
327809,ARC-Informatique,,Senegal,14.0,-14.0,Senegal
327809,ARC-Informatique,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,Dakar,Senegal,14.6708,-17.4381,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
8346,Autonomous System,,Senegal,14.0,-14.0,Senegal
