iata,name,city,country,latitude,longitude
199354,Arab States Research and Education Network (ASREN) Gemeinnutzige GmbH,,Hashemite Kingdom of Jordan,31.0,36.0
30983,Moroccan Academic Network,,Morocco,32.0,-5.0
36914,Kenya Education Network,,Kenya,1.0,38.0
36914,Kenya Education Network,,Kenya,1.0,38.0
36914,Kenya Education Network,,Kenya,1.0,38.0
36944,Ubuntunet Alliance For Research and Education Networking,,South Africa,-29.0,24.0
174,Cogent Communications,,United States,37.751,-97.822
174,Cogent Communications,,United States,37.751,-97.822
174,Cogent Communications,,United States,37.751,-97.822
174,Cogent Communications,,United States,37.751,-97.822
174,Cogent Communications,,United States,37.751,-97.822
174,Cogent Communications,Montreal,Canada,45.5329,-73.5565
53589,PlanetHoster,Laval,Canada,45.578,-73.8004
53589,PlanetHoster,Laval,Canada,45.578,-73.8004
53589,PlanetHoster,Laval,Canada,45.578,-73.8004
36914,Kenya Education Network,,Kenya,1.0,38.0
36914,Kenya Education Network,,Kenya,1.0,38.0
36914,Kenya Education Network,,Kenya,1.0,38.0
36944,Ubuntunet Alliance For Research and Education Networking,,South Africa,-29.0,24.0
174,Cogent Communications,,United States,37.751,-97.822
174,Cogent Communications,,United States,37.751,-97.822
174,Cogent Communications,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
8346,Autonomous System,,Senegal,14.0,-14.0
8346,Autonomous System,,Senegal,14.0,-14.0
8346,Autonomous System,Dakar,Senegal,14.6708,-17.4381
8346,Autonomous System,,Senegal,14.0,-14.0
8346,Autonomous System,,Senegal,14.0,-14.0
8346,Autonomous System,,Senegal,14.0,-14.0
8346,Autonomous System,Saint-Louis,Senegal,16.0189,-16.4953
36914,Kenya Education Network,,Kenya,1.0,38.0
36914,Kenya Education Network,,Kenya,1.0,38.0
36914,Kenya Education Network,,Kenya,1.0,38.0
36944,Ubuntunet Alliance For Research and Education Networking,,South Africa,-29.0,24.0
174,Cogent Communications,,United States,37.751,-97.822
174,Cogent Communications,,United States,37.751,-97.822
174,Cogent Communications,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
6453,TATA COMMUNICATIONS (AMERICA) INC,,,47.0,8.0
8346,Autonomous System,,Senegal,14.0,-14.0
8346,Autonomous System,,Senegal,14.0,-14.0
8346,Autonomous System,,Senegal,14.0,-14.0
8346,Autonomous System,,Senegal,14.0,-14.0
36914,Kenya Education Network,,Kenya,1.0,38.0
36914,Kenya Education Network,,Kenya,1.0,38.0
36914,Kenya Education Network,,Kenya,1.0,38.0
36944,Ubuntunet Alliance For Research and Education Networking,,South Africa,-29.0,24.0
36944,Ubuntunet Alliance For Research and Education Networking,,South Africa,-29.0,24.0
1200,Amsterdam Internet Exchange B.V.,,Netherlands,52.3824,4.8995
37282,MAINONE,,Nigeria,10.0,8.0
37282,MAINONE,Lagos,Nigeria,6.4474,3.3903
37170,UNILAG,Lagos,Nigeria,6.4474,3.3903
36914,Kenya Education Network,,Kenya,1.0,38.0
36914,Kenya Education Network,,Kenya,1.0,38.0
36914,Kenya Education Network,,Kenya,1.0,38.0
36944,Ubuntunet Alliance For Research and Education Networking,,South Africa,-29.0,24.0
36944,Ubuntunet Alliance For Research and Education Networking,,South Africa,-29.0,24.0
174,Cogent Communications,Dulwich,United Kingdom,51.456,-0.0611
174,Cogent Communications,,United States,37.751,-97.822
1273,CW Vodafone Group PLC,,United Kingdom,51.4964,-0.1224
1273,CW Vodafone Group PLC,,United Kingdom,51.4964,-0.1224
1273,CW Vodafone Group PLC,Leeds,United Kingdom,53.7881,-1.6008
37148,globacom-as,Ilorin,Nigeria,8.5,4.55
37148,globacom-as,Benin City,Nigeria,6.335,5.6274999999999995
37148,globacom-as,Benin City,Nigeria,6.335,5.6274999999999995
37686,ABUZ1-AS,Zaria,Nigeria,11.1132,7.7252
36914,Kenya Education Network,,Kenya,1.0,38.0
36914,Kenya Education Network,,Kenya,1.0,38.0
